lieu,latitude,longitude
Daara Serigne Fallou Mbacke Chouhaibou,"14,7383759","-17,4418067"
ROYAL FOOD,"14,6918658","-17,4533504"
Maestro Barber Shop,"14,7644977","-17,4249974"
Chez Stéphanie,"14,7237105","-17,4557859"
Rest Alirant Diamalaye Gandiol,"14,7932932","-17,3376433"
School Group Rainbow Diamalaye Nord Foire Dakar,"14,7534638","-17,4559712"
Lulu Home Interior & café - Dakar,"14,7005543","-17,4734276"
Chakour Consultance Juridique,"14,7269768","-17,4582021"
Maison des Artisans,"14,7206748","-17,4620362"
Point de retrait Jumia - Agence Cheikh Anta Diop,"14,687277","-17,4560233"
SALLE DE SPORT LES JUMEAUX,"14,7764289","-17,3194601"
Sogafric Sénégal,"14,7178023","-17,4719621"
Allure By Aly SHOP,"14,7590121","-17,4804756"
Sup Tech Solutions & Services,"14,7355788","-17,4342441"
YENGEUTOU SERVICES,"14,6908766","-17,4510466"
Djolof Chicken Parcelle Assainie u17,"14,7602708","-17,4404908"
Sine Saloum Bar,"14,7382344","-17,1992533"
Laboratoire de Prothese Dentaire,"14,6767091","-17,443359"
OG.coiffure@,"14,7042226","-17,4515486"
Istanbul Perfect Matériaux de construction,"14,7223461","-17,1694006"
Annexe du QG- Villa Eva,"14,8402434","-17,247872"
Vip Shop Näay Ler Birane Turquie,"14,778144","-17,3208094"
Mosquée zone de captage,"14,7309438","-17,4425051"
Azur Immo,"14,7418318","-17,361262"
G-Market,"14,676524","-17,4482874"
Anne Calfo,"14,7285693","-17,4981217"
Résidence ATLAS,"14,7005011","-17,4624815"
Boulangerie,"14,7430342","-17,2450653"
Mouvement des Entreprises Du Sénégal - MEDS,"14,7134718","-17,4690824"
Sen Boutique Sécurité,"14,7349113","-17,4626685"
Diaoulé,"14,7137753","-17,4486687"
Restaurant Nostalgie Palace 1,"14,7643942","-17,4381141"
ECU Consultants,"14,6881578","-17,4569865"
TMC Sénégal,"14,7432177","-17,5209616"
izo Focus,"14,7432517","-17,3849504"
Chez Madame Ngom,"14,7550696","-17,2771208"
Gawane Glamour Wakeur Cheikhoul Khadim,"14,7380995","-17,4591881"
LES JUMELLES SARL,"14,7806764","-17,3779186"
Residence Les Saphirs,"14,7354683","-17,5072442"
